Name,Link,Category,Successful run?,Comments
AdAuction-Dapp,https://github.com/AnuragMunda/AdAuction-Dapp,auction,no,smart contract cannot be triggered
APS1050,https://github.com/AkshataPuranik123/APS1050,Auction,no,"can not npm/yarn install --  
npm install & yarn failed --  "
Auctionity,"https://app.auctionity.com/
https://github.com/auctionity/auctionity ",Auction,no,dApp is online but inactive and gets error when trying to sign a message to log in. 
chitFund,https://github.com/samarth30/chitFund,auction,no,"Online Demo: React App (chitfund.netlify.app)
It is online, while smart contract cannot be triggered --  "
DAppAuction,https://github.com/Ruggiero-Santo/DAppAuction,Auction,no,"Setup successfully, however, the front end can not interact with smart contract --  "
DAppAuction,https://github.com/Ruggiero-Santo/DAppAuction,auction,no,"smart contract migrate failed -- 
truffle failed --  "
DiaboFong,https://github.com/DiaboFong/auctionDapp,Auction,no,missing installation instruction. Npm install failed
Fractional.art,https://github.com/fractional-company/contracts,Auction,no,incomplete frontend
Gnosis Auction,"https://gnosis-auction.eth.link
github.com/gnosis/ido-ux
github.com/gnosis/ido-contracts",Auction,no,"Active dApp
(Can not work, it will check balance before bidding.  )"
Hsiang-xxs,https://github.com/Hsiang-xxs/Auction,Auction,no,no instructions & can't build
solidity-auction,https://github.com/brynbellomy/solidity-auction,auction,no,"can not npm/yarn install --  
npm install & yarn failed --  "
StoriesNFT,https://github.com/ysongh/StoriesNFT,auction,no,"online demo, trading pdf stories
(I found the online demo has broken down. Lacking of API key, I also can not setup the repo.  )"
verichain,https://github.com/austin-hwang/verichain,auction,no,"npm install & yarn failed
I agree, can not npm/yarn install --checked  "
truffle-vote,https://github.com/jsphLim/truffle-Voting,voting,no,smart contract can be deployed frontend can't work (lack of index.html, so the frontend can't work)"
,https://github.com/ssteiger/Ethereum-NFT-Store-with-Dutch-Auctions,auction,no,can't compile by using truffle 
OpenSea Ship's Log example dapp,"https://github.com/ProjectOpenSea/ships-log
https://ships-log.herokuapp.com/",Auction/Trading,no,"Live example app hosted on Heroku seems broken, shows errors in browser console when trying to fetch data from OpenSea api"
Rarible protocol Ethereum example,https://github.com/rarible/ethereum-example,Auction/Trading,no,"Ran into some compile errors while trying to run it, but the repo was updated last week, so I opened an Issue on Github in hopes I hear back"
,https://github.com/wschae/ethereumbook-auction-dapp,Auction/Trading,no,frontend can't work
